,_id,timestamp,xAngle,yAngle
0,572513f9ceda168d8a4a0b64,1356998632038,8.836,-11.701
1,572513f9ceda168d8a4a0b65,1356998633057,9.007,-11.456
2,572513f9ceda168d8a4a0b66,1356998632549,8.824,-11.113
3,572513f9ceda168d8a4a0b67,1356998633563,9.145,-11.248
4,572513f9ceda168d8a4a0b68,1356998631519,8.745,-11.764
5,572513f9ceda168d8a4a0b69,1356998634073,8.938,-11.721
6,572513f9ceda168d8a4a0b6a,1356998634585,8.833,-11.65
7,572513f9ceda168d8a4a0b6b,1356998635091,8.984,-11.601
8,572513f9ceda168d8a4a0b6c,1356998635599,9.082,-11.64
9,572513f9ceda168d8a4a0b6d,1356998636108,8.903,-11.689
10,572513f9ceda168d8a4a0b6e,1356998636612,9.205,-11.343
11,572513f9ceda168d8a4a0b6f,1356998637118,8.63,-11.676
12,572513f9ceda168d8a4a0b70,1356998637626,9.165,-11.862
13,572513f9ceda168d8a4a0b71,1356998638134,8.95,-12.687
14,572513f9ceda168d8a4a0b72,1356998638640,9.031,-11.738
15,572513f9ceda168d8a4a0b73,1356998639146,9.114,-11.572
16,572513f9ceda168d8a4a0b74,1356998639653,8.727,-12.035
17,572513f9ceda168d8a4a0b75,1356998640161,8.313,-11.318
18,572513f9ceda168d8a4a0b76,1356998640677,8.989,-11.669
19,572513f9ceda168d8a4a0b77,1356998641185,9.124,-11.625
20,572513f9ceda168d8a4a0b78,1356998641689,8.854,-11.187
21,572513f9ceda168d8a4a0b79,1356998642195,8.924,-11.684
22,572513f9ceda168d8a4a0b7a,1356998642702,9.198,-11.837
23,572513f9ceda168d8a4a0b7b,1356998643206,9.182,-11.695
24,572513f9ceda168d8a4a0b7c,1356998643712,8.904,-11.944
25,572513f9ceda168d8a4a0b7d,1356998644219,8.821,-11.208
26,572513f9ceda168d8a4a0b7e,1356998644724,8.348,-11.69
27,572513f9ceda168d8a4a0b7f,1356998645230,9.066,-11.58
28,572513f9ceda168d8a4a0b80,1356998645736,9.211,-11.538
29,572513f9ceda168d8a4a0b81,1356998646242,9.079,-11.515
30,572513f9ceda168d8a4a0b82,1356998646748,9.211,-11.997
31,572513f9ceda168d8a4a0b83,1356998647256,14.464,-21.797
32,572513f9ceda168d8a4a0b84,1356998647762,2.954,-2.207
